task,id,type,slug,url,reason,result
"2_pillar",2973,"post","water-leak-detection-company-in-qatar","https://www.rukn-eltatawer.com/qa/water-leak-detection-company-in-qatar/","downgrade 1 H1, unwrap 1 tel: links [LOCKED #2973]","BLOCKED_BY_SNIPPET5"
"3_mesh",10950,"post","plumbing-maintenance-al-wakrah","https://www.rukn-eltatawer.com/qa/plumbing-maintenance-al-wakrah/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",10933,"post","building-maintenance-al-rayyan","https://www.rukn-eltatawer.com/qa/building-maintenance-al-rayyan/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",10925,"post","general-maintenance-al-rayyan","https://www.rukn-eltatawer.com/qa/general-maintenance-al-rayyan/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",12843,"post","ac-periodic-maintenance-contracts-al-daayen","https://www.rukn-eltatawer.com/qa/ac-periodic-maintenance-contracts-al-daayen/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",12819,"post","new-central-ac-installation-al-daayen","https://www.rukn-eltatawer.com/qa/new-central-ac-installation-al-daayen/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",12811,"post","ac-duct-maintenance-al-daayen","https://www.rukn-eltatawer.com/qa/ac-duct-maintenance-al-daayen/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",12803,"post","ac-relocation-installation-al-daayen","https://www.rukn-eltatawer.com/qa/ac-relocation-installation-al-daayen/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",12256,"post","cockroach-control-al-khor","https://www.rukn-eltatawer.com/qa/cockroach-control-al-khor/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",12241,"post","termite-control-umm-salal","https://www.rukn-eltatawer.com/qa/termite-control-umm-salal/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",12240,"post","termite-control-al-khor","https://www.rukn-eltatawer.com/qa/termite-control-al-khor/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",12233,"post","flying-pest-control-umm-salal","https://www.rukn-eltatawer.com/qa/flying-pest-control-umm-salal/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",12232,"post","flying-pest-control-al-khor","https://www.rukn-eltatawer.com/qa/flying-pest-control-al-khor/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",12225,"post","crawling-pest-control-umm-salal","https://www.rukn-eltatawer.com/qa/crawling-pest-control-umm-salal/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",12224,"post","crawling-pest-control-al-khor","https://www.rukn-eltatawer.com/qa/crawling-pest-control-al-khor/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",12055,"post","garden-cleaning-al-wakrah","https://www.rukn-eltatawer.com/qa/garden-cleaning-al-wakrah/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",11659,"post","thermal-insulation-al-daayen","https://www.rukn-eltatawer.com/qa/thermal-insulation-al-daayen/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",11651,"post","kitchen-insulation-al-daayen","https://www.rukn-eltatawer.com/qa/kitchen-insulation-al-daayen/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",11161,"post","roof-insulation-al-daayen","https://www.rukn-eltatawer.com/qa/roof-insulation-al-daayen/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",11154,"post","ac-leak-detection-al-daayen","https://www.rukn-eltatawer.com/qa/ac-leak-detection-al-daayen/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",11146,"post","gas-leak-detection-al-daayen","https://www.rukn-eltatawer.com/qa/gas-leak-detection-al-daayen/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",11101,"post","ro-plants-al-rayyan","https://www.rukn-eltatawer.com/qa/ro-plants-al-rayyan/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",11093,"post","water-pumps-al-rayyan","https://www.rukn-eltatawer.com/qa/water-pumps-al-rayyan/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",11085,"post","kitchen-hoods-al-rayyan","https://www.rukn-eltatawer.com/qa/kitchen-hoods-al-rayyan/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",11077,"post","vacuum-maintenance-al-rayyan","https://www.rukn-eltatawer.com/qa/vacuum-maintenance-al-rayyan/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",11069,"post","water-cooler-maintenance-al-rayyan","https://www.rukn-eltatawer.com/qa/water-cooler-maintenance-al-rayyan/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",11061,"post","water-heater-maintenance-al-rayyan","https://www.rukn-eltatawer.com/qa/water-heater-maintenance-al-rayyan/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",11053,"post","microwave-maintenance-al-rayyan","https://www.rukn-eltatawer.com/qa/microwave-maintenance-al-rayyan/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",11045,"post","dryer-maintenance-al-rayyan","https://www.rukn-eltatawer.com/qa/dryer-maintenance-al-rayyan/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",11037,"post","washer-maintenance-al-rayyan","https://www.rukn-eltatawer.com/qa/washer-maintenance-al-rayyan/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",11029,"post","fridge-maintenance-al-rayyan","https://www.rukn-eltatawer.com/qa/fridge-maintenance-al-rayyan/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",11021,"post","appliance-maintenance-al-rayyan","https://www.rukn-eltatawer.com/qa/appliance-maintenance-al-rayyan/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",11013,"post","stove-maintenance-al-rayyan","https://www.rukn-eltatawer.com/qa/stove-maintenance-al-rayyan/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",11005,"post","oven-maintenance-al-rayyan","https://www.rukn-eltatawer.com/qa/oven-maintenance-al-rayyan/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",10997,"post","automatic-doors-maintenance-al-rayyan","https://www.rukn-eltatawer.com/qa/automatic-doors-maintenance-al-rayyan/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",10989,"post","cctv-maintenance-al-rayyan","https://www.rukn-eltatawer.com/qa/cctv-maintenance-al-rayyan/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",10981,"post","elevator-maintenance-al-rayyan","https://www.rukn-eltatawer.com/qa/elevator-maintenance-al-rayyan/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",10973,"post","pool-maintenance-al-rayyan","https://www.rukn-eltatawer.com/qa/pool-maintenance-al-rayyan/","mesh 5 city-peers + 5 city-variants","ok_200"
"3_mesh",10968,"post","split-ac-maintenance-umm-salal","https://www.rukn-eltatawer.com/qa/split-ac-maintenance-umm-salal/","mesh 5 city-peers + 5 city-variants","ok_200"
